Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
Alice Springs photographer helping refugees after rare desert event,http://www.abc.net.au/local/photos/2014/12/10/4146313.htm,10/12/2014,http://www.abc.net.au/reslib/201412/r1367245_19259943.jpg,Looking east over Alice Springs from the top of Anzac Hill,Copyright: Unspecified | Source: with permission | Byline: Peter Carroll,"Weather, Weather:Phenomena, Weather:Storm,",ABC Alice Springs,NT,Alice Springs,"storm, cloud, alice springs, photography, sky, landscapes, desert, news, storm,",-23.6989,133.8829,http://www.abc.net.au/local/photos/2014/12/10/4146313-mediarss.xml, Cloud magic A recent light show in the desert town is helping support refugees in Uganda The stunning cloud formations were photographed within a 20 kilometre radius of Alice Springs over about three days Mr Carroll is now selling prints of the images via his Facebook page to help raise funds for projects in Uganda including bedding for orphans at the Rwamwanja Refugee Camp in Western Uganda There are  thousands of  people in this refugee camp and there about four groups of orphans and unaccompanied minors that live in pretty atrocious conditions he says They've got a large white UNHCR tent and they've built beds out of sticks and they just sleep on sticks and cardboard when they can find it Mr Carroll and his family spent four weeks volunteering in Uganda last year and visited the camp during that time With the help of non-profit organisation Street Swags money raised from the sale of the images will be used to deliver durable bedding for the children Peter son Xaver has also raised money for the Kamwenge Youth Soccer Team in the same district Xaver and schoolmates Coco Cavalier Toby Roberts and Samual De Graaff busked in Todd Mall raising $700 dollars for boots shinpads gloves and balls Cloud magic in the desert</strong> Mr Carroll says he hasn't seen weather conditions like this in the region for about eight years We often get big dumps of rain but we don't get amazing cloud formations every afternoon he says The rain sort of spreads across the sky and filters the light so beautifully It changes so rapidlyyou get these beautiful dark parts then you've got blue sky behind that and orange colours coming through all at the same time around one storm Funds raised from the sale of the images will also be directed towards other projects in Uganda including infrastructure for a local school,0091.png
Walking with the Spirits,http://www.abc.net.au/local/photos/2012/07/30/3556482.htm,30/07/2012,http://www.abc.net.au/reslib/201207/r980186_10716061.JPG,Children release floating candles at Beswick falls to open the Walking with Spirits Festival,Copyright: ABC | Source: ABC Local | Byline: Clare Rawlinson,"Arts and Entertainment, Arts and Entertainment:Events, Arts and Entertainment:Events:Carnivals and Festivals, Community and Society:Indigenous (Aboriginal and Torres Strait Islander):Aboriginal",ABC Darwin,NT,Katherine,"beswick walking with the spirits festival, katherine, aboriginal, indigenous, art, performance, shakespear,",-14.4666,132.2623,http://www.abc.net.au/local/photos/2012/07/30/3556482-mediarss.xml, Far from the highway down a dusty 4WD track and into an oasis in the middle of the Northern Territory 400 people gathered at the weekend for an intimate cultural experience; Walking with the Spirits Dreaming stories are told while children - indigenous and non-indigenous - gather beneath the stage gazing upwards as light projections flash across the escarpment framed by a starry night sky Fire sculptures of dreaming animals are paraded across the sandy bank which makes the natural amphitheatre for the festival and fire dancers enthral the crowds with artful and breath-taking movements But the night is not just to be observed by those attending The festival ethos is based on cultural exchange meaning everyone present is expected to participate in the sand-stamping corroborees dancing and walking with the spirits The festival was borne out of an unlikely partnership between Shakespeare Australia and Djilpin Arts the Beswick arts centre Eleven years ago Shakespeare Australia director Glenn Elston travelled to Katherine in search of a new outdoor setting for one of his plays Local musician and actor Tom E Lewis crossed paths with him and convinced Glenn the remote oasis would make the perfect setting From there the two committed to holding the annual festival in the hope their sharing of cultures could be expanded Click play on the above audio-photo slideshow to hear Tom E Lewis and Glenn Elston share their story at this year Walking with the Spirits Festival</strong>     Walking with the Spirits,3979.png
Worlds away in one space,http://www.abc.net.au/local/photos/2012/07/20/3550042.htm,20/07/2012,http://www.abc.net.au/reslib/201207/r975622_10623237.jpg,"Melbourne based artist Jade Walsh with works from the Exhibition ""The Grass is Always Greener: Works from the M.O.C.P - Museum of Common Problems""",Copyright: ABC | Source: ABC Local Radio | Byline: Lauren Fitzgerald,"Arts and Entertainment:Contemporary Art,",ABC Alice Springs,NT,Alice Springs,Jade Walsh Watch This Space.,-23.1989,133.6829,http://www.abc.net.au/local/photos/2012/07/20/3550042-mediarss.xml, Post cards from across the globe and bits and pieces from a personal life are featuring in two very different exhibitions running side by side at Watch This Space Half of the gallery features Post Darling an international mail art project created by UK artist Sophia Moseley On the other side are works by Melbourne based artist Jade Walsh The Grass is Always Greener Works from the MOCP - Museum of Common Problems is a a collection of works made from scrap fabrics and found objects Jade hopes the audience can relate to everyday dilemmas explored in her works She says she started doing art when she realised she was having a bit of trouble being single and dating It was me and my friends just having problems with boys so it definitely related to my life as a female So the works even being textile based have got a female style She says the best work comes together when you are picking up random scraps and being creative But at some point you have to be strategic but I've definitely found it in a playful way and just seem to have some interesting things happening     Jade Walsh,3994.png
Rocks in my head,http://www.abc.net.au/local/photos/2012/07/21/3550494.htm,21/07/2012,http://www.abc.net.au/reslib/201207/r975692_10625117.jpg,"(L to R) ""Earth's Tapastry #2"" (2012), ""Earth's Tapastrey #3"" (2012), ""Golden Eggs"" (2012) by Kerry Martin",Copyright: ABC | Source: ABC Local Radio | Byline: Lauren Fitzgerald,"Arts and Entertainment:Contemporary Art,",ABC Alice Springs,NT,Alice Springs,"Rocks in my head, araluen arts centre, four elements kerry martin",-23.9989,134.1829,http://www.abc.net.au/local/photos/2012/07/21/3550494-mediarss.xml, Four Elements is a magical exhibition that takes you to the heart of the Dreaming and Landscape that make up Central Australia The bold but earthy works are based on her attachment to the Central Australian landscape and the Dreaming that goes with it I've been so connected to this place that it sort of feels like it got hooks in me I was well able to get my head back into being in Central Australia even though I was working in a very cold studio with snow and sleet outside Kerry says originally the exhibition was going to be called rock in my head It started off with an exhibition series that I did on the Devil Marbles and it continued since then So try as I might I always seem to come back to round rocks Four Elements is on display at the Araluen Arts Centre until the 19th August     Kerry Martin,3995.png
'Bush trade' the basis to flourishing photography,http://www.abc.net.au/local/photos/2012/07/19/3549311.htm,19/07/2012,http://www.abc.net.au/reslib/201207/r975111_10612963.jpg,Territory thunder at Fogg Dam,Copyright: Unspecified | Source: Used with permission | Byline: Paul Arnold,"Arts and Entertainment, Arts and Entertainment:Photography,",ABC Darwin,NT,Darwin,"photography, landscape, nature, territory, mcdonnell ranges, simpson desert, wildlife, images, paul arnold, gallery, darwin: arvos",-12.8668,131.3433,http://www.abc.net.au/local/photos/2012/07/19/3549311-mediarss.xml, Six years ago Paul Arnold started professional work as a photographer after only mucking around with a cheap camera for a year beforehand Perth-born and Darwin-based Paul has spent much of his life in the outback working in mining defence and travelling extensively He calls his trade the bush and adds flippantly that the camera is the easy part It learning light and the bush that the hard part and that what I love he says Why do we get up in the morning why do we do what we do? I don't know people ask me that all the time but I just love it Paul recently returned to Darwin after a solo journey around the Territory capturing images in remote locations for the second volume of his book Capturing the Territory I was out in the Simpson Desert at the start of the yearI didn't have any contact with humans for 13 days - it was great he says Just stick me under a tree with a swag and I'm right Another memorable moment from the trip involved standing in salt lake mud for 90 minutes with his feet sinking and legs braced waiting for the moment he could catch the perfect sunrise snap Moments like these Paul says are ecstasy I do a little jig where I am when I get these shots because there no one to share it with His aim in his career as a photographer is just to have a simple life in the bush This is the way we can share what we see in the bush and hopefully make a living from it,4001.png
'As extreme as it gets': crocodile egg collecting,http://www.abc.net.au/local/photos/2012/07/10/3542896.htm,10/07/2012,http://www.abc.net.au/reslib/201207/r970187_10510957.JPG,PhD candidate and Crocodylus Park egg collector Matt Brien up early and ready to head out for a full day of work out at Malacca swamp,Copyright: ABC | Source: ABC Local | Byline: Clare Rawlinson,"Environment, Human Interest, Human Interest:Animals, Rural",ABC Darwin,NT,Darwin,"crocodile, eggs, crocodylus park, australian, animals, dangerous, nest, babies, news",-12.2668,130.7433,http://www.abc.net.au/local/photos/2012/07/10/3542896-mediarss.xml, Shoes full of sludge and sweat dripping down his brow Matt Brien pushes aside thick reeds taller than himself using two long oars In just a few metres he will lead the way into the murky moat of swamp water surrounding an active crocodile nest Often described as one of the world most dangerous jobs crocodile egg collecting is not for the faint-hearted With only a wooden oar for self-defence Matt and a fellow egg collector carrying an esky are dropped by helicopter into the middle of Malacca Swamp just south of Darwin for the mission The task demands fitness focus and seriously fast thinking for any hairy - or scaly - situations that may arise But perhaps above all crocodile egg collectors need to be team players They depend on each other for any chance of survival if something goes wrong While he waits for the chopper to arrive on the outskirts of Malacca swamp Matt wraps duct tape around his shoelaces and the ankles of his trousers to avoid attack by leeches - one of the less threatening but more definite encounters of the day It a pretty unique experience - crocodiles are one of those things that are so primitive and pre-historic that it instils fear and excitement Matt says It doesn't get any more extreme than getting dropped into a crocodile nest in the swamp to take their eggs of all things While chatting with colleagues at the base camp in Malacca swamp Matt and the other egg collectors compare stories of accidentally stepping on unsuspecting crocodiles or battling nasty cases of leptospirosis a waterborne disease common in these swampy areas But as soon as the helicopter drops him into the middle of the swamp his light-hearted banter is gone replaced with a determined yet cautious expression eyes always scanning the surroundings You have to be on your game; you're always thinking cos there always a possibility of something happening he says The slow and inelegant trudge through thigh-deep swamp waters is laced with suspense Each hard lump in the water ahead is prodded and tested before the next step is taken until Matt finally reaches a clearing of deeper water around a large bundle of sticks the crocodile nest Now we have to be a bit more careful because the nest is straight in here Matt says between panting breaths already puffed from the hard slog of wading up towards the nest This is the edge of her wallow where she stirs up the water around her nest so anytime you see the water is a bit more murky like this you do have to be a bit more careful There are some deep bits Lunging forwards and up onto the edge of the nest Matt stops to inspect a depression on top of the mound That a tail drag he says You can see it an active nest and the mother just been here Matt prepares to test the water where the tail drag leads warning if she is in there he'll explode It the only way I can describe how they come out of the water just literally explode out of the water with such power When you're the king or queen out here you don't expect anyone to be touching you Several strong slaps of the oar over the water confirm mama croc is not present so Matt begins peeling back layers of sticks on top of the nest quickly revealing a glowing pot of around 50 freshly-laid eggs Each egg is carefully marked to ensure it remains upright securing the embryo in its place inside and then placed in neat lines inside the esky The future handbags and belts are worth around $40 per egg so precision and care is paramount in order to give the animals the greatest chance of survival back at the crocodile farm Matt is very focussed on the survival factors for crocodiles While he works as an egg collector at Crocodylus Park in Darwin he is also working on his PhD exploring why the survival rate of hatchling crocodiles is lower in captivity The survival rate for hatchlings in captivity ranges between 10 and 15 per cent whereas in the wild it is as high as 50 per cent The most obvious risks are in handling the eggs at the collection stage and during incubation where eggs may be rolled dropped or disrupted by changes in temperature At the end of a long and successful day under the sun in Malacca swamp Matt then returns to Crocodylus Park to spend more hours washing and storing the eggs in shipping container incubators according to their age This is probably one of the more important stages cleaning and processing the eggs Even though it the last thing you want to do at the end of a long day it really important he says Eggs from an older nest collected at Malacca swamp the same day are already beginning to hatch; small scaly noses poking through the soft shells Matt and other egg collectors gently squeeze the eggs until a wriggling blinking hatchling crocodile bursts forth I've worked with crocodiles for many years now in Australia and around the world Crocodiles are something that get under your skin They're quite amazing creatures Listen to the above audio-photo slideshow for a full journey through Malacca swamp crocodile egg collecting or watch the video under the Video tab to see crocodile eggs hatching</strong> Crocodile eggs hatching     Crocodile egg collecting,4003.png
NAIDOC week in Alice kicks off,http://www.abc.net.au/local/photos/2012/07/16/3546653.htm,16/07/2012,http://www.abc.net.au/reslib/201207/r973348_10577441.jpg,11-year-old Ziggy Wesley with his mum Joanne,Copyright: ABC | Source: ABC Local | Byline: Emma Sleath,"Community and Society:Indigenous (Aboriginal and Torres Strait Islander),",ABC Alice Springs,NT,Alice Springs,"naidoc, alice springs, NAIDOC, parade, indigenous,",-23.5989,134.3829,http://www.abc.net.au/local/photos/2012/07/16/3546653-mediarss.xml, A sea of red black and yellow fills the streets as hundreds attend the launch of the Alice Springs NAIDOC Week Across the nation this year NAIDOC Week celebrates the 40th anniversary of the Aboriginal Tent Embassy Donna McMasters says this year theme is about working together and being vocal about how to improve the lives of Aboriginal people We show respect to our elders who fought for us and what they achieved over the last 40 yearswhether it the tent embassy or people still being vocal and voicing their opinions about improving Aboriginal lives she says Following the march was the Opening Ceremony which included a flag raising traditional song and dance and speeches by Barb Satour and MC John Rawnsley For a full list of NAIDOC Week events in Alice Springs click here  (In Alice NAIDOC Week is held a week after the national event so as not to clash with the Alice Springs Show),4004.png
The world behind the pandanus basket,http://www.abc.net.au/local/photos/2012/07/06/3540338.htm,6/07/2012,http://www.abc.net.au/reslib/201207/r968445_10477011.jpg,Hannah spends long afternoons under the shade outside Injalak Arts in Oenpelli weaving pandanus,Copyright: ABC | Source: ABC | Byline: Clare Rawlinson,"Arts and Entertainment, Community and Society, Community and Society:Indigenous (Aboriginal and Torres Strait Islander):Aboriginal, Community and Society:Indigenous (Aboriginal and Torres Strait Islander)",ABC Darwin,NT,Oenpelli,"indigenous, NAIDOC week, aboriginal, culture, gunbalanya, oenpelli, arnhem land, nature, arts, craft",-12.3167,133.05,http://www.abc.net.au/local/photos/2012/07/06/3540338-mediarss.xml, Have you ever wondered what is involved in the making of a pandanus basket? The popular Aboriginal crafts are a skilled creation that has been passed down through generations and is now a core part of life in Oenpelli Arnhem Land     Collecting pandanus with four women in Oenpelli,4022.png
Australia and Indonesia's tumultuous relationship,http://www.abc.net.au/local/photos/2012/06/29/3535974.htm,29/06/2012,http://www.abc.net.au/reslib/201206/r965347_10417672.jpg,Indonesian President Suliso Bambang Yudhoyono arrives in Darwin today,Copyright: ABC | Source: ABc | Byline: ABC News,"Community and Society, Defence and National Security, Government and Politics, Unrest, Conflict and War",ABC Darwin,NT,Darwin,tumultuous austraila indonesia relations suliso bambang yudhoyono president politics asylum seekers bali bombing kuta schapelle corby balibo five,-12.0668,131.1433,http://www.abc.net.au/local/photos/2012/06/29/3535974-mediarss.xml, Australia relationship with Indonesia has been through highs and lows The two countries rely heavily on each other and have strong diplomatic and trading ties but it has not always been smooth sailing She said the meeting was of enormous strategic importance for shared economic outlook The leaders will visit the Royal Darwin Hospital where an international disaster relief centre is based and played a key role in relief after the Bali Bombings We look back on some of the biggest events that have shaped divided and united the relationship</strong> The murder of five Australian journalists in the town of Balibo East Timor The Indonesian Government has maintained the journalists were killed in crossfire but a coronial inquest found they were murdered by the Indonesian military during the 1975 invasion of East Timor In October 2002 a busy Kuta nightclub in Bali was bombed by Islamic terrosists killing 202 people including 88 Australians Many of the burns victims were evacuated to the Royal Darwin Hospital for treatment Jihadist Umar Patek was later charged for the attack and was sentenced to 20 years in jail In 2004 the Sumatran province of Aceh was devastated by the Boxing Day earthquake and tsunami The tsunami killed around 280000 people across Indonesia Sri Lanka India Thailand and the Maldives 170000 of which were in Banda Aceh Australian aid organisations rushed to the scene and many established permanent projects after the tsunami In 2005 Queensland woman Schapelle Corby was arrested in Bali for drug smuggling after authorities found 42kg of marijuana in her surfboard case at the Denpasar airport She was convicted and sentenced to 20 years imprisonment in Bali which has since been reduced by five years People smugglers in Indonesia have been a long source of tension between Australia and Indonesia The smugglers who charge asylum seekers for transport to Australia by boat have seen numerous boat accidents and tragedies with the most recent killing 90 when a boat capsized near Christmas Island in June 2012 This year ABC Four Corners program revealed a man known as Captain Emad smuggled himself into Australia as a refugee then continued to operate his people smuggling business from Canberra In 2011 Australia suspended live cattle exports to Indonesia after footage of Australian animals being treated inhumanely at Indonesian abattoirs was aired on Four Corners The suspension was lifted two months later with new regulations in place At the end of 2011 President Barack Obama visited Australia announcing that 2500 US marines would be based in Darwin Indonesia reacted with suspicion and President Obama said the move was part of a strategic defence re-posture focusing on the Asia-Pacific region Indonesian President Suliso Bambang Yudhoyono will visit Darwin on a three day trip with Prime Minister Julia Gillard from July 2-4 2012 Follow 1057 ABC Darwin on air and online for regular updates Click play on this slideshow for a snapshot of some significant moments shared by the two countries</strong> Follow @1057darwin     Australia-Indonesia relations,4040.png
Finke Photo Competition,http://www.abc.net.au/local/photos/2012/06/14/3525349.htm,14/06/2012,http://www.abc.net.au/reslib/201206/r962046_10358099.jpg,Victoria's Anthony Campbell takes a tumble on his quad,Copyright: Unspecified | Source: ABC Local | Byline: Adrian Butter,"Arts and Entertainment:Photography, Sport:Motor Sports,",ABC Alice Springs,NT,Alice Springs,"finke, finkedesertrace, finke photo competition, alice springs,",-23.1989,134.0829,http://www.abc.net.au/local/photos/2012/06/14/3525349-mediarss.xml, They're starting to trickle in but we know there plenty more out there! Enter your favourite photo of Finke and win a really cute (toy) car Share your pics online through ABC Alice Springs Contribute  @783alicesprings on Twitter  The best non-edited photo wins a super toy motorbike Don't forget to include your full name with your photos Need some inspiration? Check out our Finke Photo Bonanza some great images from Cross Media Reporter Emma Sleath,4057.png
New yarns at Alice Beanie Festival,http://www.abc.net.au/local/photos/2012/06/21/3530612.htm,21/06/2012,http://www.abc.net.au/reslib/201206/r961503_10346284.jpg,Ned Kelly's gang by Margaret Vazey (Sydney),Copyright: ABC | Source: ABC Local | Byline: Emma Sleath,"Arts and Entertainment, Arts and Entertainment:Design, Arts and Entertainment:Design:Craft, Community and Society",ABC Alice Springs,NT,Alice Springs,"beanie festival, alice springs, news, art,",-23.4989,134.2829,http://www.abc.net.au/local/photos/2012/06/21/3530612-mediarss.xml, Ned Kelly and his gang are depicted on this fabulous beanie from Sydneyan old story in a new yarn for this year Alice Beanie Festival 6200 beanies (give or take) are on show at this year Alice Springs Beanie Festival and as always they're a sight to behold Old Stories New Yarns is the theme and festival founder Adi Dunlop says it all about fibre as a narrative artform People don't realise wool can be so expressive she says To prove her point Adi has created a special banner for this year festival depicting characters from stories including Alice in Wonderland and the Magic Pudding (Look out for it in the gallery where this year amazing competition beanies are displayed - it hard to miss) Curator Mez Hughes says the competition beanies are as amazing as ever It been a cracker this year she says There been an incredible amount of hours put into knitting crocheting felting all around the country she says So what goes into a winning beanie? It important that they are wearable as well as beautifulpersonally I like a beanie to make me laugh Festival director Jo Nixon says there more involvement from Indigenous artists this year with workshops being held in Ernabella Titjijkala and Tangentyere Arts The Gala Opening kicks off tonight with the winners of the Competition section announced from 6pm For more information on what going on this weekend - head to the Alice Beanie Festival website ,4058.png
2012 Finke Photo Bonanza!,http://www.abc.net.au/local/photos/2012/06/09/3521855.htm,9/06/2012,http://www.abc.net.au/reslib/201206/r956171_10248828.jpg,Punters wait for the first bike to appear,Copyright: ABC | Source: ABC Local | Byline: Emma Sleath,"Sport, Sport:Motor Sports,",ABC Alice Springs,NT,Alice Springs,"finke, finkedesertrace,",-23.4989,133.6829,http://www.abc.net.au/local/photos/2012/06/09/3521855-mediarss.xml, All the colour and mayhem of the 2012 Finke Desert Race Swirling dust crazy people and plenty of action Here the beginning of our beautiful collection and we'd love to include your shots so get shooting! Don't forget we're also running our annual Finke Photo Competition  and every image we get will be eligible Click here to find out how you can contribute your memorable shotsand enjoy another great Finke weekend,4078.png
Darwin skies draw Venus-spotters from around the globe,http://www.abc.net.au/local/photos/2012/06/06/3519501.htm,6/06/2012,http://www.abc.net.au/reslib/201206/r953779_10201536.JPG,German physiologist Gunther Federolf travelled to Darwin for clear skies to view the transit of Venus,Copyright: ABC | Source: ABC | Byline: Clare Rawlinson,"Science and Technology, Science and Technology:Astronomy (Space), Science and Technology:Astronomy (Space):Planets and Asteroids,",ABC Darwin,NT,Darwin,Darwin skies draw Venus-spotters from around the globe,-12.6668,130.5433,http://www.abc.net.au/local/photos/2012/06/06/3519501-mediarss.xml, The clear skies of Darwin have drawn more than 1500 Venus-spotters to the Esplanade including German astronomy-enthusiast Gunther Federolf Having already travelled to Egypt for the 2004 viewing Gunther checked forecasts around the world and found Darwin would be one of the best locations to view this year transit from With his own telescope to share with local onlookers Gunther said viewing the transit gave him a sense of his place in the universe If you have photographs of the transit of Venus contribute to ABC Darwin here  For more coverage of the transit of Venus click here      German physiologist Gunther Federolf,4100.png
Bass in the Grass Music Festival,http://www.abc.net.au/local/photos/2012/05/29/3513700.htm,29/05/2012,http://www.abc.net.au/reslib/201205/r950717_10143772.JPG,Boy and Bear at Bass in the Grass,Copyright: ABC | Source: ABC | Byline: Anne-Marie Middlemast,"Arts and Entertainment, Arts and Entertainment:Music, Arts and Entertainment:Music:Folk, Arts and Entertainment:Music:Guitar",ABC Darwin,NT,Darwin,"music, festival, bass, grass, temper trap, boy & bear,",-12.5668,130.8433,http://www.abc.net.au/local/photos/2012/05/29/3513700-mediarss.xml, More than 7000 music fans headed along to the annual Bass in the Grass festival for 2012,4112.png
Hello Tennant Creek,http://www.abc.net.au/local/photos/2012/05/22/3508055.htm,22/05/2012,http://www.abc.net.au/reslib/201205/r947670_10085752.jpg,"New President of the Barkly Shire, Barb Shaw (rugging up with her sarong)",Copyright: ABC | Source: ABC Local | Byline: Emma Sleath,"Community and Society,",ABC Alice Springs,NT,Tennant Creek,"tennant creek, alice springs,",-19.4523,134.0882,http://www.abc.net.au/local/photos/2012/05/22/3508055-mediarss.xml, The 783 ABC Mornings crew are heading to Country Womens Association for our last day in the golden heart Today we're looking forward to what the CWA have in store for us (can the Morning Teas get any better?) and we're going to meet a man who not giving up on his vision for a better future for Indigenous kids Yesterday we broadcasted from the award winning Nyinkka Nyunyu Tennant Creek arts hub We spoke to the CLP candidate for Barkly Rebecca Healy and we also checked in with some of the people behind the Barkly Work Camp Plus we went inside the box with a behind the scenes look at the Democratic Hub a film project thats causing a bit of a stir around town at the moment On Wednesday we broadcasted live from the Battery Hill Visitor Centre and the views were magnificent Local member for Barkly Gerry McCarthy popped by we talked tourism with Mick Adams and we canvassed some locals on their thoughts about the proposed Muckaty nuclear waste dump Morning tea was spectacular (thanks Roddy!) this beats a day in the office Tuesday saw us broadcasting from the Tennant Creek High School grounds where music teacher Paul Mahoney kicked off the show with some South American tunes There were juggling lessons from Psycus Pete we caught up with Linda Clark and Ngaire Donald who regaled us with tales of the centenary Titanic cruise and we even got to meet the principal Cupcakes for Morning Tea capped off a great morning (Tune into to 1061 if you're in the Barkly or join the fun from Alice on 783),4125.png
Music festival rocks the centre,http://www.abc.net.au/local/photos/2012/05/08/3498486.htm,8/05/2012,http://www.abc.net.au/reslib/201205/r940992_9953210.jpg,Plenty of fabulous fashion at Wide Open Space,Copyright: Unspecified | Source: With permission | Byline: Rhett Hammerton,"Arts and Entertainment:Events:Carnivals and Festivals, Community and Society:Community and Multicultural Festivals,",ABC Alice Springs,NT,Alice Springs,"wide open space, alice springs, festival, news,",-23.2989,134.0829,http://www.abc.net.au/local/photos/2012/05/08/3498486-mediarss.xml, Another great Wide Open Space festival has wrapped up at the Ross River Resort over the May long weekend Born in 2007 the three day music and arts extravaganza included three stages of music and performance an assortment of workshops and even a mulled wine stall The chilly nights didn't keep the crowds from enjoying headline acts including Barons of Tang Rosie Burgess Trio Frank Turner and TZU Central Australian acts Los Bandoleros Desert Reggae Super Raelene Brothers Catch the Fly and Uncreation didn't disappoint Co-ordinator Rodney Angelo says around 1300 people attended the festival up around 500 from last year It a beautiful opportunity for everyone to come together and share their talents and to celebrate the diversity of the Alice Springs community he says The feedback we get year after year from interstate artists and visitors is just overwhelming surprise at the beauty of the landscapeand excitement of what is possible The weekend staffed entirely by volunteers ended with the traditional climb up one of the surrounding hills to watch the sunset and the supermoon rise We'd love to share more photos from one of Alice most colourful events so upload your favourites to the 783 ABC Alice Springs Facebook page and we'll include them in this gallery Want more? Check out some poetic voices from the Wide Open Space Festival in this short video by ABC Open Producer Emily Bissland Or have a peek at visiting UK blogger Phil Norton impressions of our desert-style festival,4144.png
Painting in a billabong: an artist's exploration,http://www.abc.net.au/local/photos/2012/05/08/3498192.htm,8/05/2012,http://www.abc.net.au/reslib/201205/r938430_9902842.jpg,John Wolseley paints in a billabong at the Daly River,Copyright: ABC | Source: Used with permission | Byline:,"Arts and Entertainment, Arts and Entertainment:Visual Art:Painting, Environment, Environment:Wetlands",ABC Darwin,NT,Daly River,"john wolseley, art, artist, naturalist, painting, watercolour, daly river, nature, environment, ethnobiologist, news, exhibition, top end, australia",-13.5535,130.4965,http://www.abc.net.au/local/photos/2012/05/08/3498192-mediarss.xml, Wading through billabongs in the Daly River digging up taro and collecting water lilies It all part of the process for artist John Wolseley who is throwing splashes of the Top End onto his canvas this week to create works for an exhibition titled Wetlands of Australia The main paintings I do are very large paintings - three or four metres long So I have the big shape of the landscape then in different parts I put these beautiful small things -the barramundi the lilies and other small things Wolseley says I think in the old days a lot of landscape painters had a big easel and they were male and they had a straw hat and they looked out and painted the landscape as if from a distance But what I like to do is really get into it I've got a whole wall of drawings I did by actually moving the paper against the burnt forest I do a sort of dance and I move the painting through the forest Yesterday I was actually deep in the billabong tugging at the roots of the plants and I was thinking I really was within the things I was drawing and that comes across in the painting I hope While exploring wetlands and river systems in the Top End for his paintings Wolseley is sharing his techniques with local Aboriginal artists and in turn they are sharing their knowledge of local flora and fauna Because the artists down there do such wonderful paintings of the flora and fauna I was able to say what is this lily and what is this grasshopper doing The Nangi people there have this vast knowledge which is not in books John Wolseley continues his paintings in the Top End this week at Blue Mud Bay See more of Wolseley paintings here      John Wolseley in the Territory,4171.png
Intrepid gnome leaves Darwin couple searching for answers,http://www.abc.net.au/local/photos/2012/05/03/3494716.htm,3/05/2012,http://www.abc.net.au/reslib/201205/r935748_9851080.JPG,Jade Knipe looks at a photograph of her gnome with Darwin's iconic homeless man 'Trevor the Rubbish Warrior',Copyright: ABC | Source: ABC | Byline: Clare Rawlinson,"Human Interest, Human Interest:Offbeat, Lifestyle and Leisure:Travel and Tourism,",ABC Darwin,NT,Darwin,"gnome napping, darwin theif steal travel travelling travellers garden gnome news holiday overseas",-12.3668,131.3433,http://www.abc.net.au/local/photos/2012/05/03/3494716-mediarss.xml, Jade didn't believe it when she got the message from her boyfriend She was on a holiday in Bali at the time only a week after the shiny new gnome she'd bought for Josh had gone missing from their front garden At first they suspected Josh brother was behind the stunt but as the photographs continued arriving they became confused It couldn't have been him He way too lazy to do something like this - he been up here four years and he hasn't been to any of these locations Jade admitted The correspondence became more and more elaborate Jerome was first pictured first escaping through the front gate then poised to dive into the Nightcliff swimming pool not far from their house Later he was caught on camera having a cuddle with Darwin iconic homeless Rubbish Warrior then he was pictured looking through binoculars at the wharf and making a trip to the nudist beach We're really looking forward to them now Jade said For almost two months Jade and Josh have received the regular photographs by mail from Jerome the Gnome and have not been able to determine for certain who the gnome nappers are We have these friends that are travelling around Australia who have been up here for a year so we've accused them again and again but they've sworn on their mothers lives it isn't them Jade said They've even gotten quite angry about it when we bring it up we so were convinced it couldn't have been them Josh however has reservations I don't know I reckon it them we just don't have any evidence to say for sure Jade and Josh remain on the hunt for their gnome nappers determined to one day have the intrepid Jerome back in his rightful place by the pool If you've got any clues to help Jade and Josh unlock the mystery comment below</strong>     The Mystery of Jerome Gnome,4187.png
Barkcloth holds key to Omie culture,http://www.abc.net.au/local/photos/2012/04/30/3491844.htm,30/04/2012,http://www.abc.net.au/reslib/201204/r933850_9815910.jpg,Fruit of the shie tree and Omie mountains,Copyright: ABC | Source: ABC Local radio | Byline: Lauren Fitzgerald,"Arts and Entertainment:Art History, Arts and Entertainment:Visual Art, Arts and Entertainment:Visual Art:Painting,",ABC Alice Springs,NT,Alice Springs,"Omie Tribe, Papua New Guinea, lauren Fitzgerald, Omie artists, brennan king raft artspace",-23.9989,133.7829,http://www.abc.net.au/local/photos/2012/04/30/3491844-mediarss.xml, Century old traditions are being preserved by a Papua New Guinean tribe through art Their remoteness means the tribe has being able to cling on to century old traditions such as make their own cloths by pounding the inner skins of trees They use these bark cloths for clothing and art which you can buy through the Omie Artists cooperative in exhibitions But as a special treat you can take a look at some of this art right here in Alice Springs The RAFT Artspace is hosting the exhibition brought here by the Manager of Omie Artists Brennan King Translated into English the title of the exhibition is Our barkcloth holds the spirit of our culture Brennan took Mornings Producer Lauren Fitzgerald on a tour and explained the art making process You can listen to the interview by clicking on the audio     Omie Artists barkcloth exhibition,4196.png
