Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
Mittagong Greeny Flat shows eco-living made easy,http://www.abc.net.au/local/photos/2014/05/26/4012255.htm,26/05/2014,http://www.abc.net.au/reslib/201405/r1280295_17329764.jpg,Andy Lemann in front of his environmentally sustainable Greeny Flat in Mittagong.,Copyright: ABC | Source: ABC | Byline: Justin Huntsdale,"Business, Economics and Finance:Industry:Building and Construction, Business, Economics and Finance:Industry:Electricity Energy and Utilities, Environment:Alternative Energy:Solar Energy, Science and Technology:Energy",ABC Illawarra NSW,NSW,Mittagong,"greeny flat, andy lemann, mittagong, energy, building, efficiency, housing, southern highlands, abc illawarra, justin huntsdale",-34.4516,150.4445,http://www.abc.net.au/local/photos/2014/05/26/4012255-mediarss.xml, How would you like to live in a house that generates more electricity than it uses you never have to turn on the air conditioner and heater and it doesn't cost that much more than a regular house to build Step inside Mittagong Greeny Flat I'd been living in the United States for 20 years in Montana where it gets down to minus 50 degrees celsius at times so energy efficiency is a whole different kettle of fish he says Coming back here it seems really easy to do this After returning to Australia he sized up his mother backyard and designed and built his Greeny Flat - a two bedroom fully functional unit that is now producing almost twice as much energy as it using He started with two main goals - to make it energy positive and to show people that it can be affordable My philosophy is regardless of what you think about global warming at some point we have to learn to live without fossil fuels because they won't last forever This experiment is to see if we can do it now and if we can why not do it? The flat is meticulously designed to capitalise on available daylight for solar energy and natural heating while shade and the floor slab will help regulate the inside temperate during the hottest and coldest parts of the year There a water tank out the back to capture rain water and last week the flat underwent a blower door test by University of Wollongong researchers to ensure it was airtight He and his girlfriend have just spent their first month living in the flat Early indications are that it will work really well Andy says Winter will be the real test but I have no doubts in the summer we'll make more energy than we're using Just over the last week since we had our solar panels installed we're making twice the energy we're using He says it likely his mother will move into the flat in her later years so he also designed the house to make it compatible for the elderly There are ramps as well as sufficient door space to move a walking frame through the indoor and outdoor space is low maintenance and the corrugated iron cladding outside means not a drop of paint has been used outside I've been working on this full time for a year now in designing planning and building it I've just finished it and I'm about to take a holiday but when I get back I'll be thinking about what I'll do for a crust The Greeny Flat doesn't only just stand out for its striking metal design it miles more energy efficient than most houses built in Australia today Andy says when he left the country 20 years ago Australia was ahead of the US on energy efficient housing design Now we have fallen behind and we are even further behind Europe where houses need to be designed to withstand extreme temperatures and make use of natural energy options We're an energy producing nation and we have cheap energy but we're all starting to realise energy prices are going up Threats of global warming are making people conscious of the energy we use and the carbon we produce You can stay up to date on how the Greeny Flat is performing with Andy blog,"images/0001.png"
My Garden Sustains Me - ABC's David Maher,http://www.abc.net.au/local/photos/2014/10/08/4102800.htm,8/10/2014,http://www.abc.net.au/reslib/201410/r1339287_18680307.jpg,"David's love of teaching gardening began while he was a school teacher; now retired, he is still learning and sharing his knowledge",Copyright: ABC | Source: ABC Local Radio | Byline: Jennifer Ingall,"Community and Society, Human Interest, Human Interest:People, Lifestyle and Leisure:Gardening",ABC New England North West NSW,NSW,Tamworth,"gardening, David maher,",-31.0921,150.6279,http://www.abc.net.au/local/photos/2014/10/08/4102800-mediarss.xml, Inside David Maher Tamworth garden David says it has to be a comprehensive garden so that he has a vast knowledge which he can share on Saturday Gardening on ABC New England North West His background includes teaching in one-teacher schools and it was there he put a focus on horticulture In one North Coast School he actually set up a market garden From then on it has always been part of his life and his garden in Tamworth is often open to garden clubs and visitors It a love it a passion; sometimes it becomes a dream says David It therapeutic and for me it been marvellous mentally physically socially and culturally and I think it helping to sustain me he says     Take a walk through the Garden with David Maher and meet Mick!,"images/0263.png"
"Unplug, switch off and go on a quest for quiet",http://www.abc.net.au/local/photos/2014/10/09/4103605.htm,9/10/2014,http://www.abc.net.au/reslib/201410/r1339755_18690619.jpg,Yoga and meditation can be used to treat depression and anxiety.,Copyright: ABC | Source: | Byline:,"Health, Health:Mental Health, Lifestyle and Leisure,",ABC Newcastle NSW,NSW,Newcastle,Newcastle: Afternoons yoga meditation mental as mental health digital screen devices quiet quest PTSD 1233 abc,-32.5298,151.9828,http://www.abc.net.au/local/photos/2014/10/09/4103605-mediarss.xml, Could you manage to switch off and separate yourself from all your electronic devices for just half an hour a day? It might do your mind a power of good Michael de Manincor founder and director of the foundation says people need to realise that we have to look after our mind in the same way we care for our body with physical exercise and a healthy diet It doesn't look after itself it doesn't have its own self-maintenance system it needs looking after he says And just like our bodies Michael says we should be aware of what we're feeding our brain You need to be careful of what you put into it he says pointing to the enormous amount of time most of us spend on digital media and watching screens The sheer quantity of the stimulation that the brain gets needs to be considered and it needs downtime Michael says For so many people today because of the busyness of their lives particularly the demands from their workplace environment and their devices they just don't get that downtime That where Quiet Quest comes in It a fundraising initiative being run by the Yoga Foundation to help provide yoga instruction to veterans suffering from post-traumatic stress disorder Michael says not only is the condition rife among returned service personnel in America it been shown PTSD responds well to yoga and meditation therapies During Quiet Quest the foundation is asking people to take just 30 minutes a day to separate themselves from all electronic devices and enjoy some peaceful time without talking or other stimulation So whether it fishing or reading a book or going for a walk doing something where you can switch off be quiet and be unplugged is of great value Michael says Michael started practising meditation as a teenager has worked as a yoga teacher therapist and psychologist for many years and is president of Yoga Australia He currently doing his PhD in treating anxiety and depression with yoga Many health professionals are already using meditation and mindfulness to treat certain conditions But Michael is investigating the use of other yoga practices as well such as physical postures breathing and relaxation techniques He says there are many different types of meditation including those that work well for people with a busy mind But he warns that just like starting a physical fitness program after years of inactivity caring for your mind requires persistence and effort If it a struggle to begin with you take it easy you persist with it and you definitely can get better at it he says In order to get the benefit of yoga there no question that some degree of personal responsibility for our own health and well-being is critical We can't hand this over to others to do it for us Meditation and care for the mind is I think essential for everyone just as caring for our physical health Michael de Manincor spoke to Carol Duncan on 1233 ABC Newcastle Afternoons</strong> You can find details about Quiet Quest here,"images/0263.png"
"Once bittern, twice shy for endangered bunyip bird",http://www.abc.net.au/local/photos/2014/10/08/4102774.htm,8/10/2014,http://www.abc.net.au/reslib/201410/r1339114_18676577.jpg,A bittern in young rice in the NSW Riverina.,Copyright: ABC | Source: Supplied | Byline: Matt Herring,"Arts and Entertainment:Books (Literature), Community and Society:Indigenous (Aboriginal and Torres Strait Islander):Indigenous Culture, Community and Society:Regional, Environment:Endangered and Protected Species",ABC Goulburn Murray,NSW,Deniliquin,"abc, abc goulburn murray, birds, bittern, endangered, animals, wildlife, environment, news, matt herring, riverina, farming, rice,",-35.5308,144.9603,http://www.abc.net.au/local/photos/2014/10/08/4102774-mediarss.xml, A Riverina ecologist has started crowdfunding in the hope of raising enough money to use satellite tracking on the endangered bunyip bird In recent decades the Australasian bittern has been shown to be the probable cause of that growl as it nests in marshland during breeding season What happens to the bittern outside breeding season is largely unknown though and is the reason behind a new crowdfunding campaign in the NSW Riverina to track the birds using satellite Wildlife ecologist Matt Herring said while only about 2500 bitterns remained worldwide northern Victoria and southern New South Wales had always been known as a stronghold for the bird He said recent surveys done around Deniliquin Finley Coleambally Griffith and Leeton had uncovered hundreds of bitterns breeding in the water-drenched rice crops We've got this really interesting situation where an endangered species is very closely associated with farming he said What we're doing out there in the New South Wales Riverina by growing rice is basically creating artificial wetlands that are very much like those ones that they would've occurred in naturally Australasian bitterns are also found in New Zealand and New Caledonia but what happens to the NSW Riverina birds outside breeding season is a mystery Mr Herring said he had launched a crowdfunding campaign with the hope of raising $50000 to pay for satellite tracking of the birds After the first three weeks of the campaign just under $20000 had been raised Mr Herring said most rice farmers were chuffed to learn that the endangered bittern might be taking up residence in their crop I think they get a real kick out of supporting such a mysterious bird he said He said a pamphlet of bittern-friendly rice growing tips launched by ecologists had been enthusiastically taken up by the farmers     The call of the Australasian Bittern has long fueled the bunyip myth but those planning a new satellite tracking program hope to find out where the birds go after breeding season,"images/0266.png"
There's a blood moon rising ...,http://www.abc.net.au/local/photos/2014/10/08/4102665.htm,8/10/2014,http://www.abc.net.au/reslib/201405/r1278922_17301089.jpg,A shot of April's blood moon.,Copyright: ABC | Source: photo supplied | Byline: Jim Ogilvie,"Science and Technology, Science and Technology:Astronomy (Space), Science and Technology:Astronomy (Space):The moon,",ABC Newcastle NSW,NSW,Newcastle,blood moon total lunar eclipse full moon tetrad astronomy photography sydney observatory bible prophecies astrology 1233 abc,-32.5298,151.5828,http://www.abc.net.au/local/photos/2014/10/08/4102665-mediarss.xml, Tonight total lunar eclipse will produce a spectacular blood moon effect which will last a full hour By contrast next April blood moon will last only a few minutes Newcastle and the Hunter will have a virtual box seat to one of the night sky most dramatic events provided the weather cooperates The Bureau of Meteorology says despite the cloud cover it likely there will be breaks through which to view the eclipse in the north-eastern sky It will begin just after the sun fully sets at 715pm when a shadow will appear on the moon before it starts turning red at 815pm How deep the colour will be can't be predicted and depends on how much dust is in the air at the time Between 925pm and 1025pm the moon will be in total eclipse with the greatest eclipse at 955pm Then the eclipse will gradually fade until it ends at 1135pm The full lunar eclipse occurs because the Earth is passing directly between the sun and the moon forming a straight line known as a syzygy NASA explains that the eclipse begins with the penumbra phase where the sun light is only partially obscured resulting in a slight darkening of the moon surface As the moon continues on its path it enters the umbra where all direct light from the sun is blocked The moon turns red because light from the sun is passing through a thick layer of the Earth atmosphere which scatters shorter wavelengths such as blue By the time the sun light finishes its trip to the moon only the longer wavelengths like red are left Tonight lunar eclipse is the second in a tetrad a series of four which began in April this year and will continue next April 4 and September 28 The April total lunar eclipse will last only a few minutes and the one in September will be during the day so tonight will be the best to view until 2018 Unlike a solar eclipse a lunar eclipse is safe to view with the naked eye through a telescope or binoculars Some evangelists see the four blood moons as evidence of Biblical prophecies that predict the so-called End times and the second coming of Christ Astrologers on the other hand believe a deep cleansing is occurring which can lead to sudden breakthroughs and raw emotions They believe the lunar eclipse brings focus to our relationships and can symbolise powerful endings and completion Sydney Observatory will stream the lunar eclipse live here,"images/0266.png"
End of an era: Byron Bay boutique business grows as primary industry goes,http://www.abc.net.au/local/photos/2014/06/20/4029696.htm,20/06/2014,http://www.abc.net.au/reslib/201305/r1109268_13467688.jpg,Inside the 'piggery' slaughterhouse circa 1920s.,Copyright: ABC | Source: ABC Local | Byline: Arthur Hackett,"Business, Economics and Finance:Industry, Community and Society:Unemployment, Lifestyle and Leisure, Lifestyle and Leisure:Travel and Tourism",ABC North Coast NSW,NSW,Byron Bay,"byron, bay, industry, history, abc, news, byron bay's, meatworks, chicken, ingams, ingham, factory, historical",-28.5436,153.3109,http://www.abc.net.au/local/photos/2014/06/20/4029696-mediarss.xml, The closure of Inghams chicken factory in Byron Bay will mark the end of large scale primary industry in the town which now relies heavily on the tourist dollar We take a look back at how the town local economy has evolved Since the 1960s it seen the winding up of industries like sand mining whaling dairy and meat production The closure of Ingams marks the end of that era The Byron Bay chicken processing facility was home to Sunnybrand Chickens until early 2011 when it was taken over by the then Australian owned-Inghams Two years later Inghams was sold to US-based private equity group TPG for $880 million Sam Gilmore and his business partner Ron Lang ran Sunnybrand chickens for 36 years Together we built it from doing 200 chickens a day which we did with one employee and ourselves Selling fresh and rotisserie chickens around the NSW north coast and Gold Coast at one stage the factory employed over 400 people At its peak it was processing almost 300000 chickens a week and turning around $100million a year We even used to buy live chickens off Ingham in Brisbane and we'd go up and pick up live birds and bring them back and slaughter them in Byron Bay because we couldn't grow enough Mr Gilmore says In those days few questions were asked of Aussies who were prepared to have a go Restrictions from Byron Shire Council were nothing then to what they are today he says We didn't even have to put in development applications Mr Gilmore says he sad to see the factory close We did supply a lot of employment to the areas around Byron Bay he says They were all good people Diminishing industry everyone thought that was going to be the death of Byron Bay Byron Bay was first settled in 1881 The coastal township quickly became a hive of industry Beginning with timber it was followed by the opening of Norco which became the biggest butter factory in the southern hemisphere until 1972 Byron Bay Historical Society president Donald Maughan says it was once the biggest industrial town on the NSW coast north of Newcastle In 1901 the lighthouse was built and about that time they started to work on rail links between Lismore and Murwillumbah via Byron Bay and that enabled industry to really develop Like many Australian coastal towns Byron Bay has had to adapt to a changing industrial landscape Mr Maughan says when the Walkers slaughterhouse closed in 1983 many locals thought it was going to be the death of Byron Bay I remembered that very clearly I was 34 at the time and it was a big employer in Byron Bay - it was the last really big industry in Byron Bay to close We really hadn't kicked in as a tourist town we had a lot of young families employed there We didn't know what was going to happen to the community In the 1960s and 70s soul surfers and hippies discovered Byron idyllic beaches and its hinterland rolling hills Then tourism kicked in In 1990 John trop Cornell built the Top Pub - now known as The Beach Hotel - for $9million which he sold in 2007 for $65 million That got a lot of publicity and changed the whole flavour of the town Mr Maughan says The tourist Mecca is a somewhat different town to 50 years ago when the stench of whale carcasses wafted around main beach The blood and washings from the slaughter floors in the abattoirs we had a blood pipe that ran out several hundred metres into the sea and that was all pumped out into the surf Mr Maughan says With that and the whaling the sharks from what must've been the whole eastern seaboard used to track into that blood offal line I remember as a child sitting on the jetty and seeing the guys sitting on there with 303 rifles shooting the sharks Mr Maughan who started sand mining as a teenager and went on to work at Norco for 40 years says the end of big industry in the area isn't such a bad thing The demise of the industry of Byron Bay is a very tragic thing for employment and the families involved but it given the environment a chance to revive he says What Byron Bay aspires to be today - that sort of cosmic place where everyone is aware of environment and culture - it was the antitheist of that back in the 50s and 60s Flourishing Byron boutique Today the tourist dollar is undoubtedly Byron biggest employer But it also meant the success of many local businesses - including gourmet food and drink retail and surf ventures - which have made the most of the Byron Bay name and lifestyle Byron United president Michael O'Grady says creative home-grown businesses continue to spring up around the bay They're not what you used to call blue collar  jobs  they're more boutique operators but they are employing local staff He says Byron Bay will have to continue to adapt to secure jobs for the community year-round The digital industry and the internet have become very important for most people around here because that enabling people to reach into not only into the domestic markets but also into the international market he says It about getting creative     Following the announcement that Inghams will shut down its Byron Bay factory we look back on the history of industry in the town,"images/0266.png"
Brisbane theatre at home in Albury farmhouse,http://www.abc.net.au/local/photos/2014/10/07/4102040.htm,7/10/2014,http://www.abc.net.au/reslib/201410/r1338767_18669441.jpg,"Members of 'The Escapists' theatre ensemble at the Splitters Creek farmhouse, 6th October 2014 (L-R): Keith Clark, Lucas Stibbard, Neridah Waters, Tim Dashwood.",Copyright: ABC | Source: ABC Goulburn Murray | Byline: Nick Fogarty,"Arts and Entertainment:Books (Literature), Arts and Entertainment:Theatre, Community and Society:Community Organisations, Community and Society:Regional",ABC Goulburn Murray,NSW,Albury,"abc, abc goulburn murray, theatre, hothouse, arts, albury, farmhouse, escapists, regional, news, lucas stibbard, brisbane,",-35.9765,146.9227,http://www.abc.net.au/local/photos/2014/10/07/4102040-mediarss.xml, A secluded farmhouse outside Albury in southern New South Wales has proven to be a creative gathering place for Brisbane artists Outgoing artistic director of Albury-Wodonga HotHouse Theatre Jon Halpin hails from Brisbane as does associate director Travis Dowling Even before Jon Halpin arrival co-productions between HotHouse and Queensland Theatre Company brought numerous Brisbane-ites down to the Victorian border Many of them were and still are drawn by the prospect of a stay at a small farmhouse at Splitters Creek outside Albury where HotHouse hosts artists on month-long residencies Several years ago Brisbane theatre group The Escapists stayed at the secluded five-bedroom farmhouse and are back again in October 2014 Each morning at about 10am Lucas Stibbard Tim Dashwood Neridah Waters and Keith Clark make the 30-second walk to the rehearsal shed and begin work on their play Packed  Dashwood didn't make The Escapists original visit to Albury-Wodonga but said he'd heard a lot about the farmhouse from the Brisbane theatre world Everyone always talks about the month in the country and working out of the farmhouse and How were the cows? he said The attraction of coming here is having that ability to forget about life for a while and just focus on creating things Like the farmhouse residency the work they are creating Packed  also involves a journey away from home Co-writer Lucas Stibbard said he'd learnt from experience that there were two types of Australian traveller and these characters were both explored in the play The first character Her is an anthropologist who is hiding herself from the world by actually placing everything before herself and then removing herself from it Stibbard said Then Stibbard said there is Him the type of character who would boast that Yesterday I got an RPG and I blew up a cow! You'd go I don't think that a good idea either maybe somewhere in the middle is a healthy way to live which is kind of what the show is about he said Stibbard said someone from Brisbane theatre community generally announced they were heading south for an Albury residency about once a year There a big Brisbane connection which has been fantastic and we really hope continues he said,"images/0267.png"
Old school trades - watchmaker,http://www.abc.net.au/local/photos/2014/10/03/4099959.htm,3/10/2014,http://www.abc.net.au/reslib/201410/r1337330_18639338.jpg,Bill Phinn has been working as a watchmaker for over 50 years.,Copyright: ABC | Source: ABC Local | Byline: Robert Virtue,"Community and Society, Community and Society:Work,",ABC Central West NSW,NSW,Orange,"Old School Trades, job, employment, history, work, life, people, trades, apprenticeships, Orange, NSW, New South Wales, Australia, 2014, ABC, ABC Central West, ABC Western Plains, Robert Virtue, watch, time, watchmaker, hours, minutes, seconds, Bill Phinn, clock, pocket watch",-33.4846,148.9988,http://www.abc.net.au/local/photos/2014/10/03/4099959-mediarss.xml, Most of us wear a watch or have a clock on a wall somewhere  but how are timepieces repaired when they suddenly stop working? In an arcade in the central west NSW town of Orange is a watch repair shop The shop is quiet except for the occasional chime from a clock on the wall or the jingle of the door bell as a customer enters Behind a glass petition watchmaker Bill Phinn works on an ornate pocket watch; screwdriver in hand and magnifier lodged in front of his eye Mr Phinn has worked as a watchmaker for over 50 years and has been based in Orange for a decade He comes from a long line of watchmakers and is the fourth generation in his family to take up the trade My great grandfather my grandfather and my father were all watchmakers so I think it just in the blood and it was destiny that I'd be a watchmaker too he said Mr Phinn grew up in Cooma on the Monaro in south east NSW There his father had his own business and employed a German master watchmaker who had come to town to work on the Snowy Hydro Scheme When I left school my father gave me a week off and then I got straight into it He was very strict and there was no way I could take sickies Mr Phinn said I watched my father doing the repairs  but the German watchmaker was a master craftsman and was very strict in the way he taught me Nothing was done by half-measures; everything had to be perfect After only two years of his six-year apprenticeship Mr Phinn father died which forced the family to close their Cooma business Mr Phinn packed his bags and went to Sydney to complete his study with a major jewellery company Having learnt the trade from a number of experts Mr Phinn said he took an important piece of advice out of his study The main thing  I learnt  was to do it right in the first place; and if the job done properly it out of your hands and you don't have customers coming back complaining he said Over the years the way watches are manufactured has changed significantly When Mr Phinn began studying the trade mechanical watches were commonplace Gradually more and more battery-operated quartz watches came into fashion; and now many watches are operated by small computers As battery-operated watches came in it was a whole new ball-game he said A lot of the older watchmakers couldn't get their heads around the electronic side of things They were set in their ways When someone presents Mr Phinn with a watch that needs repairing he studies it carefully to try and determine why it isn't working He then takes the timepiece apart and checks for signs of wear and tear cracked jewels or other broken parts The watch then goes through a thorough cleaning process and is placed in four different solutions before being dried oiled and carefully reassembled Battery watches include a quartz crystal that is shaped like a tuning fork Mr Phinn said the crystal vibrates and creates an electrical current It vibrates at about 32000 vibrations per second Those vibrations are very accurate and go through an electronic circuit  that  divides all those vibrations by half to get down to one electric pulse per second he said That accuracy drives a stepping motor that makes the quartz watch go and that where you get the accuracy from Mr Phinn said battery watches keep time to within five seconds every month while mechanical watches keep time to within 20 to 30 seconds each week With the number of watchmakers dwindling Mr Phinn said he enjoys helping people and restoring their old timepieces Years ago every jewellery shop had a watchmaker working out the back These days most jewellery stores are chain stores and there just aren't the watchmakers around to be employed he said We get a lot of people bringing in an old watch that belonged to their father or mother who may have passed away; so to see an old watch in pretty bad condition and then spend the time on it to get it working is satisfying     An insight into how a watchmaker does their job,"images/0268.png"
"Photo gallery from the 2014 Great Southern Blues Festival, Narooma",http://www.abc.net.au/local/photos/2014/10/07/4101925.htm,7/10/2014,http://www.abc.net.au/reslib/201410/r1338633_18666189.jpg,The crowd goes wild at the conclusion of a powerful performance by Russell Morris at the 2014 Great Southern Blues Festival.,Copyright: ABC | Source: ABC South East NSW | Byline: Bill Brown,"Arts and Entertainment:Events:Carnivals and Festivals, Arts and Entertainment:Music,",ABC South East NSW,NSW,Narooma,senswmusic Great Southern Blues Festival Narooma Joe Camilleri Black Sorrows Mal Eastick Kevin Borich Vika Bull Phil Manning Russel Morris,-36.2226,150.1294,http://www.abc.net.au/local/photos/2014/10/07/4101925-mediarss.xml, The Great Southern Blues Festival is a kind of boutique blues festival comfortable size great music and in one of the prettiest coastal towns in Australia It began nearly twenty years ago in the town basketball court as the Narooma Blues Festival Now it a fixture on the festival circuit The three day long weekend festival attracts an audience wanting quality music but in a festival setting that is far more intimate and relaxed than most For much of the audience the festival with its coastal environment has become a place to meet up with family and friends For musicians it has a reputation as being a place where they are welcomed and looked after Neil Mumme looks for opportunities to create new combinations of musicians This year the festival closed with three Australian blues/rock legends Phil Manning Kevin Borich and Mal Eastick,"images/0269.png"
Will it be the year of the Dog or the Rabbit?,http://www.abc.net.au/local/photos/2014/10/03/4099862.htm,3/10/2014,http://www.abc.net.au/reslib/201410/r1336477_18621756.JPG,A lone Bulldog in Rabbitohs' territory,Copyright: ABC | Source: ABC | Byline: Lawrence Champness,"Sport:Rugby League, Sport,",ABC Sydney,NSW,Sydney South,"rabbitohs, bulldogs, bunnies, souths, canterbury, bankstown, bulldog, campsie, belmore, rugby, rugby league, NRL, footy, Sunday, September, 2014, grand final, sport, sporting, HG, Roy, commentary, lawrence champness, lotta haegg, legends, bob mcarthy,",-33.899985,151.207838,http://www.abc.net.au/local/photos/2014/10/03/4099862-mediarss.xml, In 1971 McCarthy was pivotal in the last grand final win for South Sydney when they beat St George in a late try I had a cramp in my leg and I was on the ground trying to get it out McCarthy tells Robbie Buck on 702 ABC Sydney We were only leading 11-10 and John Sattler ran past and said get up Macca we need ya It was the encouragement he needed and moments later Ron Coote passed him an inside ball as he stood under the posts I was always in the right place at the right time he says modestly He may have played for both sides but McCarthy who was born in Redfern has no doubt who he'll be cheering on this weekend I'm a Rabbitoh through and through 43 years between drinks is a long time so will nerves plague players on the day? McCarthy likes to think that with experienced players like Greg Inglis and Lote Tuqiri Souths should be able to put their Rugby League hat on and get into it I think these blokes will settle them down South Sydney fan Jeremy Muir has been waiting eagerly for a win for his team He says it been a difficult week of highs and lows since his team made the finals Despite the nerves he enjoying the lead up to the game and having his daughters at home on school holidays so they can get stuck into decorating the house in red and green My girls are now fourth generation fans he proudly told Robbie Buck Muir says he has a Rabbitoh museum at home filled with lots of memorabilia which he has collected over the years And he also has a new Rabbitohs tattoo which he had done this week Caller Bruce from Berowra says he became a Canterbury fan at aged four when his Uncle Hank took him to cheer on the Berries Before we had to have macho names like the Bulldogs or torm or Raiders we were the Berries he explains But Bruce was not short of a quip about his team rivals this weekend What sort of team would have a name like Rabbitohs Game on Sydney,"images/0276.png"
Technology helps Marilyn after mystery blindness,http://www.abc.net.au/local/photos/2014/10/02/4099335.htm,2/10/2014,http://www.abc.net.au/reslib/201410/r1336814_18628647.jpg,Two years ago Marilyn Pursche went blind overnight. She now uses a modified computer to stay in touch with family and friends.,Copyright: ABC | Source: ABC Goulburn Murray | Byline: Nick Fogarty,"Community and Society:Regional, Health:Disabilities, Human Interest:People, Science and Technology:Computers and Technology",ABC Goulburn Murray,NSW,Lavington,"abc, abc goulburn murray, vision, blindness, marilyn pursche, lavington, health, computers, technology, internet, disease, family, community,",-36.0398,146.9245,http://www.abc.net.au/local/photos/2014/10/02/4099335-mediarss.xml, A Lavington woman love of computers has not been dulled despite losing her vision overnight about two years ago At the end of the week though 73-year-old Ms Pursche from Lavington realised she couldn't get out of bed She had also lost her vision Ms Pursche husband and children rushed her to the hospital where she stayed for two months undergoing blood tests lumbar punctures and MRI scans Doctors initially thought she might have contracted viral meningitis but her blindness remains undiagnosed Nothing come up conclusive so I don't know and they don't know she said It just something that I've got to live with Ms Pursche and her husband Malcolm moved to the Albury-Wodonga area in 2004 from Whyalla South Australia to be closer to their children and grandchildren Already a keen computer user at the time of her accident blindness suddenly left her unable to communicate with friends and family via the internet I wanted to get back onto my computer because I was such a computer addict she said After a friend took her along to a Vision Australia meeting she discovered that all was not lost Adaptive technologies trainer Kuini Peehikuru taught Ms Pursch to touch-type before introducing her to programs that would read out what was written on-screen and write whatever words she spoke The technology allowed her to keep using Facebook and Skype although there were a few teething problems One day when I first got it my husband was in the kitchen doing a bit of cooking and he asked me something Ms Pursche said I was talking to him and threw in a little few small swear words  I finished talking to him went back to the computer and the computer had repeated everything that I'd said plus the swear words So I've got to remember now when I'm talking to somebody else I've got to switch that microphone off Ms Peehikuru said working with people like Ms Pursche had taught her that there is life after blindness For some people it takes a little bit longer to come to that point where they feel that they want to do something more than sit at home and think about how different their life is she said     73-year-old Albury woman Marilyn Pursche was devastated when she lost her eyesight overnight Since then though an eight-week computer skills program has done wonders for her social life,"images/0276.png"
North Albury's Akermanis guilty of unbecoming conduct,http://www.abc.net.au/local/photos/2014/10/01/4098403.htm,1/10/2014,http://www.abc.net.au/reslib/201410/r1336236_18615851.jpg,"North Albury coach Jason Akermanis enters the Ovens and Murray tribunal, 30th September 2014. Akermanis was found guilty of unbecoming conduct and suspended for four matches.",Copyright: ABC | Source: ABC Goulburn Murray | Byline: Nick Fogarty,"Community and Society:Regional, Education:Bullying, Human Interest:People, Information and Communication:Journalism",ABC Goulburn Murray,NSW,North Albury,"abc, abc goulburn murray, football, jason akermanis, ovens and murray, tribunal, news, afl, north albury, sport, bullying,",-35.5538,147.4325,http://www.abc.net.au/local/photos/2014/10/01/4098403-mediarss.xml, The Ovens and Murray football league tribunal has heard a landmark cyber safety case involving former Brownlow Medallist Jason Akermanis Akermanis was found guilty of violating the AFL Victoria cyber safety policy by an independent tribunal led by chairman Wayne Taylor The charges arose after a complaint was made against Akermanis to the Ovens and Murray in August by AFL North East Border AFL North East Border complained that its umpire development manager Mark Bywater had been repeatedly abused by Akermanis through text message and email Akermanis was also alleged to have sent videos some containing abusive language of himself dissecting umpiring decisions during games Akermanis pleaded not guilty to the charges at the Albury hearing which ran for about four hours The tribunal suspended him for four matches but three of those matches will be held over for 12 months Ovens and Murray League general manager Aaron McGlynn said it was the first ever cyber safety case heard at the tribunal  Cyber-bullying  is something that'll no doubt become an onging issue but one that we want to try and make a stance on and nip it in the bud he said Media lockout Several media organisations including the ABC and commercial television stations were locked out of the tribunal proceedings with only one local newspaper allowed inside Aaron McGlynn said it was due to a misunderstanding and inexperience of the tribunal members in dealing with media He said the league had since spoken to the tribunal members about putting a notification process in place between media and the league for future hearings,"images/0276.png"
Getting ready for the Grand Final,http://www.abc.net.au/local/photos/2014/10/01/4098534.htm,1/10/2014,http://www.abc.net.au/reslib/201410/r1336477_18621756.JPG,A lone Bulldog in Rabbitohs' territory,Copyright: ABC | Source: ABC | Byline: Lawrence Champness,"Sport, Sport:Rugby League,",ABC Sydney,NSW,Sydney,"bulldogs, nrl, rabbitohs, south sydney, canterbury, bankstown, rugby league, sydney, suburbs, passion, fans, players, teams, belmore, redfern, september, finals, ball, time, fabulous",-33.9631,151.0043,http://www.abc.net.au/local/photos/2014/10/01/4098534-mediarss.xml, See the players and fans of the Rabbitohs and Bulldogs as the excitement builds towards Sunday Rugby League Grand Final,"images/0277.png"
