Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Billboards
The philosophy of hand painting your car,http://www.abc.net.au/local/photos/2014/11/20/4133128.htm,20/11/2014,http://www.abc.net.au/reslib/201411/r1358734_19086094.jpg,"""I'm an artist,"" Ms Styles-Dargie said. ""And I've studied philosophy. People get very curious and will come up and talk. I've had some of the most wonderful conversations in car parks.""",Copyright: AAP | Source: ABC Southern Qld | Byline: Peter Gunders,"Arts and Entertainment, Arts and Entertainment:Visual Art, Arts and Entertainment:Visual Art:Painting, Community and Society",ABC Southern Queensland,QLD,Toowoomba,"car, paint, hand, personalise, hyundai, Pininfarina, philosophy",-27.5622,151.9528,http://www.abc.net.au/local/photos/2014/11/20/4133128-mediarss.xml,"images/test_word_cloud_0228.png"
Sharing the hip way of working,http://www.abc.net.au/local/photos/2014/11/21/4133363.htm,21/11/2014,http://www.abc.net.au/reslib/201411/r1358881_19088640.JPG,"Matt Shaw and Gary Swanepoel run a co-working space that hosts graphic designers, coders, event organisers, web designers and journalists.",Copyright: ABC | Source: ABC | Byline: Jon Coghill,"Business, Economics and Finance:Economic Trends, Business, Economics and Finance:Industry:Retail, Human Interest:People,",ABC Sunshine & Cooloola Coasts Qld,QLD,Noosa Heads,"co-working, the loft project, thomas surfboards, gary swanepoel, thomas bexon, malikai mitchel, hipsters, kirk eddington, mark newman",-26.3962,153.0899,http://www.abc.net.au/local/photos/2014/11/21/4133363-mediarss.xml,"images/test_word_cloud_0229.png"
Swimmers make a splash at Merewether's improved ocean baths,http://www.abc.net.au/local/photos/2014/11/20/4132833.htm,20/11/2014,http://www.abc.net.au/reslib/201411/r1358535_19082081.JPG,A man enters the water at the revamped Merewether Ocean Baths.,Copyright: ABC | Source: ABC Local | Byline: Nick Gerber,"Sport, Sport:Swimming,",ABC Newcastle NSW,NSW,Merewether,"Merewether, Merewether Ocean Baths, ocean, swimming, pool, refurbishment, Newcastle, NSW, 1233 ABC Newcastle, 2014, New South Wales, Nick Gerber, Greg Sainsbury, Newcastle City Council, Robert Virtue",-32.9446,151.7557,http://www.abc.net.au/local/photos/2014/11/20/4132833-mediarss.xml,"images/test_word_cloud_0230.png"
Backpackers rate Whitsundays among must see destinations,http://www.abc.net.au/local/photos/2014/11/19/4131996.htm,19/11/2014,http://www.abc.net.au/reslib/201411/r1358027_19071367.jpg,"Robin Fischer is visiting from Germany and is travelling in a car full of backpackers up the East Coast. “We are on the way from Rockhampton up to Townsville and we decided to stop in Airlie Beach to have a swim and enjoy a bit of sun,"" Robin said. ""I was here a couple of months ago and did a tour on a sailing boat in the Whitsundays and I enjoy the beaches, the weather, and the environment here. It is definitely one of my favourite destinations in Australia.""",Copyright: ABC | Source: Sophie Kesteven | Byline:,"Community and Society, Human Interest, Lifestyle and Leisure,",ABC Tropical Queensland,,,"Whitsundays, tourism, airlie beach, backpackers",,,http://www.abc.net.au/local/photos/2014/11/19/4131996-mediarss.xml,"images/test_word_cloud_0231.png"
Mr Sellotape should never have been born: a book binder's story,http://www.abc.net.au/local/photos/2014/11/19/4131977.htm,19/11/2014,http://www.abc.net.au/reslib/201411/r1357955_19069192.jpg,Every restoration has its own challenge,Copyright: ABC | Source: ABC Local | Byline: SK,"Arts and Entertainment, Community and Society, Human Interest:People, Lifestyle and Leisure",ABC South West WA,WA,Cowaramup,"southwest, book,",-33.85,115.0833,http://www.abc.net.au/local/photos/2014/11/19/4131977-mediarss.xml,"images/test_word_cloud_0232.png"
The last bid attempts to save the western ground parrot,http://www.abc.net.au/local/photos/2014/11/18/4131256.htm,18/11/2014,http://www.abc.net.au/reslib/201411/r1357514_19060240.jpg,"WA's most endangered species, the western ground parrot",Copyright: ABC licensed | Source: Alan Danks | Byline: Supplied,"Environment:Endangered and Protected Species, Science and Technology:Animals:Birds,",ABC Esperance,WA,Esperance,Western Ground Parrot Endangered Species Bird Cape Arid Esperance Department of Parks and Wildlife,-33.8614,121.8811,http://www.abc.net.au/local/photos/2014/11/18/4131256-mediarss.xml,"images/test_word_cloud_0233.png"
The centipede that ruined Christmas,http://www.abc.net.au/local/photos/2014/11/18/4130988.htm,18/11/2014,http://www.abc.net.au/reslib/201411/r1357277_19054673.jpg,"An introduced giant centipede eats a giant gecko, a specied only found on Christmas Island.",Copyright: ABC licensed | Source: | Byline: Melissa Wynn,"Environment:Endangered and Protected Species, Science and Technology:Animals:Invertebrates, Science and Technology:Animals:Reptiles,",ABC North West WA,WA,Christmas Island,christmas island giant centipede lizard gecko skink blue-tailed forest lister's endangered save protection North West WA: Mornings,-10.483,105.623,http://www.abc.net.au/local/photos/2014/11/18/4130988-mediarss.xml,"images/test_word_cloud_0234.png"
Flip side to Whitsunday turtle life,http://www.abc.net.au/local/photos/2014/11/20/4132647.htm,20/11/2014,http://www.abc.net.au/reslib/201411/r1358424_19079599.jpg,Kankama made the change from eating lettuce to squid which Libby says will put her back on track to a faster recovery.,Copyright: ABC | Source: | Byline:,"Community and Society, Environment, Human Interest,",ABC Tropical Queensland,QLD,Whitsundays,"turtle, rescue, whitsundays, airlie beach, pollution",-20.278,148.915,http://www.abc.net.au/local/photos/2014/11/20/4132647-mediarss.xml,"images/test_word_cloud_0235.png"
What would you do if YOU were elected the Premier of Victoria?,http://www.abc.net.au/local/photos/2014/11/20/4132768.htm,20/11/2014,http://www.abc.net.au/reslib/201411/r1358595_19083341.jpg,Barb from Beechworth.,Copyright: ABC | Source: ABC Local | Byline:,"Government and Politics, Government and Politics:Parliament:State Parliament,",ABC Central Victoria,VIC,,"victorian election, vicvotes, state election, abc victorian election,",,,http://www.abc.net.au/local/photos/2014/11/20/4132768-mediarss.xml,"images/test_word_cloud_0236.png"
Inside one of the world's largest aircrafts,http://www.abc.net.au/local/photos/2014/11/19/4131995.htm,19/11/2014,http://www.abc.net.au/reslib/201411/r1357941_19068914.jpg,A Russian Antonov flies over the Rockhampton Airport,Copyright: ABC | Source: ABC Local | Byline: Alice Roberts,"Business, Economics and Finance:Industry:Air Transport, Defence and National Security:Defence Forces:Air Force, Defence and National Security:Defence Forces, Defence and National Security:Defence Forces:Army",ABC Capricornia,QLD,Rockhampton,"Antonov, Russia, Singapore Army, Exercise Wallaby, ADF, Australian Defence Force, Singaporean Defence Force, Rockhampton Airport",-23.3782,150.5106,http://www.abc.net.au/local/photos/2014/11/19/4131995-mediarss.xml,"images/test_word_cloud_0237.png"
Insurance woes sink Graham’s big dreams for unique Limestone Coast attraction,http://www.abc.net.au/local/photos/2014/11/20/4132654.htm,20/11/2014,http://www.abc.net.au/reslib/201411/r1358418_19079454.jpg,Unique: Graham Kilsby in the sinkhole which lies on his family's farming property.,Copyright: ABC | Source: ABC Local | Byline: Kate Hill,"Business, Economics and Finance, Business, Economics and Finance:Industry:Insurance, Business, Economics and Finance:Industry:Tourism, Human Interest",ABC South East SA,SA,Mount Gambier,"sinkhole, kilsbys, graham, ross, mt schank, limestone coast, tourism, south east, mount gambier, beam of light, photograph, natural, earthquake, little blue, lake, insurance, public liability",-37.8252,140.7811,http://www.abc.net.au/local/photos/2014/11/20/4132654-mediarss.xml,"images/test_word_cloud_0238.png"
Countdown's 40th Anniversary listener event,http://www.abc.net.au/local/photos/2014/11/14/4128992.htm,14/11/2014,http://www.abc.net.au/reslib/201411/r1355979_19027954.jpg,Red Symons and Mark Holden reminisce the Countdown days and welcome guests in the original Countdown Studio,Copyright: AAP | Source: | Byline:,"Arts and Entertainment, Arts and Entertainment:Music, Information and Communication:Broadcasting:Television,",ABC Melbourne,VIC,Melbourne,,-37.8099,144.9622,http://www.abc.net.au/local/photos/2014/11/14/4128992-mediarss.xml,"images/test_word_cloud_0239.png"
Townsville remembers Pike River miners four years on,http://www.abc.net.au/local/photos/2014/11/20/4132673.htm,20/11/2014,http://www.abc.net.au/reslib/201411/r1358435_19079833.jpg,"The family and friends of Joshua Ufer released 29 balloons at The Strand in Townsville, to remember each of the 29 miners killed in the Pike River mine disaster in New Zealand.",Copyright: ABC | Source: ABC News | Byline: Isobel Roe,"Disasters and Accidents:Accidents:Workplace, Disasters and Accidents:Emergency Incidents,",ABC North Qld,QLD,Townsville,,-19.2643,146.8118,http://www.abc.net.au/local/photos/2014/11/20/4132673-mediarss.xml,"images/test_word_cloud_0240.png"
Iconic Hamelin Bay jetty remains will be saved,http://www.abc.net.au/local/photos/2014/11/17/4130291.htm,17/11/2014,http://www.abc.net.au/reslib/201411/r1358440_19079981.jpg,Sunset at Hamelin Bay jetty,Copyright: Audience submitted | Source: Supplied | Byline: Lionie Higgins Noone,"Business, Economics and Finance:Industry:Building and Construction, Community and Society:History,",ABC South West WA,WA,Hamelin Bay,"southwest, jetty",-34.2167,115.0167,http://www.abc.net.au/local/photos/2014/11/17/4130291-mediarss.xml,"images/test_word_cloud_0241.png"
Understanding why women wear the hijab,http://www.abc.net.au/local/photos/2014/11/20/4132434.htm,20/11/2014,http://www.abc.net.au/reslib/201411/r1358286_19077101.jpg,A mother at the event ties a headscarf onto her daughter's head,Copyright: ABC | Source: ABC Gippsland | Byline: Jenni Henderson,"Community and Society, Community and Society:Religion and Beliefs, Community and Society:Religion and Beliefs:Islam,",ABC Gippsland Vic,VIC,Morwell,abc gippsland islam muslim women headscarf hijab niquab burqua,-38.2371,146.3935,http://www.abc.net.au/local/photos/2014/11/20/4132434-mediarss.xml,"images/test_word_cloud_0242.png"
Ain't no party like an over 80s Christmas party,http://www.abc.net.au/local/photos/2014/11/20/4132520.htm,20/11/2014,http://www.abc.net.au/reslib/201411/r1358334_19077397.jpg,"More than 600 guests gathered to share morning tea and sing popular songs from the 40s, 50s and 60s. In his speech, Mayor Paul Antonio estimated there was more than 56,000 years of experience in the room.",Copyright: AAP | Source: ABC Southern Qld | Byline: Peter Gunders,"Community and Society:Aged Care, Community and Society,",ABC Southern Queensland,QLD,Toowoomba,toowoomba mayors over 80s christmas party advice elders,-27.5622,151.9528,http://www.abc.net.au/local/photos/2014/11/20/4132520-mediarss.xml,"images/test_word_cloud_0243.png"
Parking in Toowoomba? The clock starts now!,http://www.abc.net.au/local/photos/2014/11/13/4127669.htm,13/11/2014,http://www.abc.net.au/reslib/201411/r1355198_19010600.jpg,"In what shop owners describe as the 'perfect storm' of parking issues this month, the only public multi-storey car park in the city (in Neil Street) has been operating at reduced capacity due to damage, two large car parks (at the old library and Gardentown shopping centre) have been demolished, and Council has reduced the limit of street parking from two hours to one.",Copyright: AAP | Source: ABC Southern Qld | Byline: Peter Gunders,"Business, Economics and Finance, Business, Economics and Finance:Industry, Business, Economics and Finance:Industry:Retail, Community and Society",ABC Southern Queensland,QLD,Toowoomba,"car parking, toowoomba, cbd, development, council, business, hard, tough, better,",-27.5622,151.9528,http://www.abc.net.au/local/photos/2014/11/13/4127669-mediarss.xml,"images/test_word_cloud_0244.png"
QCWA young leader meets Barack Obama at G20,http://www.abc.net.au/local/photos/2014/11/16/4129707.htm,16/11/2014,http://www.abc.net.au/reslib/201411/r1356558_19041007.jpg,Taya Rundle has kept her invitation to Barack Obama's speech at the University of Queensland.,Copyright: AAP | Source: ABC Southern Qld | Byline: Peter Gunders,"Community and Society, Community and Society:Youth, Event, Government and Politics",ABC Southern Queensland,QLD,Toowoomba,USA president barack obama brisbane g20 uq speech future young people toowoomba,-27.5622,151.9528,http://www.abc.net.au/local/photos/2014/11/16/4129707-mediarss.xml,"images/test_word_cloud_0245.png"
Plastic free November,http://www.abc.net.au/local/photos/2014/11/20/4132371.htm,20/11/2014,http://www.abc.net.au/reslib/201411/r1358274_19075985.jpg,Kids from Bellingen EYE model their Borrow Me Bags which they made from recycled materials for Plastic Free November.,Copyright: ABC | Source: ABC Local | Byline: Olivia Bernadini,"Lifestyle and Leisure:Lifestyle:Sustainable Living,",ABC Coffs Coast,NSW,Bellingen,"sustainable, environment, plastic,",-30.4541,152.898,http://www.abc.net.au/local/photos/2014/11/20/4132371-mediarss.xml,"images/test_word_cloud_0246.png"
A barrage of blooms in Winslow,http://www.abc.net.au/local/photos/2014/11/19/4131775.htm,19/11/2014,http://www.abc.net.au/reslib/201411/r1357856_19067029.jpg,One of the garden beds in the front of Janette's garden,Copyright: ABC | Source: ABC Local Radio | Byline: Jeremy Lee,"Lifestyle and Leisure:Gardening,",ABC South West Vic,VIC,Winslow,janette o keefe garden donna ellis winslow gardening roses blooms flowers cwa country women's association abc south west victoria breakfast jeremy lee,-38.2333,142.45,http://www.abc.net.au/local/photos/2014/11/19/4131775-mediarss.xml,"images/test_word_cloud_0247.png"
Drought Call-back to provide a familiar voice in tough times,http://www.abc.net.au/local/photos/2014/11/19/4131714.htm,19/11/2014,http://www.abc.net.au/reslib/201411/r1357874_19067346.jpg,A dry river bed near Mitchell. Drought Call-back has been set up to provide support to drought-affected communities.,Copyright: ABC | Source: Used with permission | Byline: Jude Roberts,"Disasters and Accidents, Disasters and Accidents:Drought, Health, Health:Mental Health",ABC Wide Bay Qld,QLD,Bundaberg,"news, queensland, drought, bundaberg, lifeline, drought call-back, drought, destocking, crisis, suicide, mental health",-24.8683,152.3459,http://www.abc.net.au/local/photos/2014/11/19/4131714-mediarss.xml,"images/test_word_cloud_0248.png"
Priest hopes labyrinth will bring calm to a busy city,http://www.abc.net.au/local/photos/2014/11/18/4131319.htm,18/11/2014,http://www.abc.net.au/reslib/201411/r1357557_19061212.jpg,Penny Jones says the labyrinth at Toowoomba’s St Luke’s Cathedral will be finished by Easter 2015.,Copyright: AAP | Source: ABC Southern Qld | Byline: Belinda Sanders,"Arts and Entertainment, Arts and Entertainment:Design, Community and Society, Community and Society:Religion and Beliefs",ABC Southern Queensland,QLD,Toowoomba,"labyrinth, toowoomba, st lukes, anglican, church, Chartres Cathedral",-27.5622,151.9528,http://www.abc.net.au/local/photos/2014/11/18/4131319-mediarss.xml,"images/test_word_cloud_0249.png"
Decorated architect's legal battle creates ripple effect,http://www.abc.net.au/local/photos/2014/11/19/4131733.htm,19/11/2014,http://www.abc.net.au/reslib/201411/r1357841_19066618.jpg,Veridian Noosa Residences - the site of a legal dispute about the size of one resident's veranda.,Copyright: ABC | Source: ABC | Byline: Jon Coghill,"Arts and Entertainment:Design, Arts and Entertainment:Design:Architecture, Law, Crime and Justice,",ABC Sunshine & Cooloola Coasts Qld,QLD,Noosa Heads,"John Mainwaring, Noosa Veridian Residences, QCAT, BCCM,",-26.3962,153.0899,http://www.abc.net.au/local/photos/2014/11/19/4131733-mediarss.xml,"images/test_word_cloud_0250.png"
Indigenous teenagers enticed to antenatal classes with belly casting,http://www.abc.net.au/local/photos/2014/11/18/4131286.htm,18/11/2014,http://www.abc.net.au/reslib/201411/r1357541_19060845.jpg,North West Hospital and Health Service nursing assistant Kirsten Gallagher applies a trial belly cast on a young expectant mother.,Copyright: ABC | Source: North West Hospital and Health Service | Byline: Contributed,"Arts and Entertainment:Visual Art:Painting, Community and Society:Family and Children:Parenting, Community and Society:Indigenous (Aboriginal and Torres Strait Islander), Health:Women's Health",ABC North West Qld,QLD,Mount Isa,"antenatal class, indigenous, aboriginal, teenage, expectant mothers, pregnancy, belly cast, casting, kate stephens, north west hospital and health service, blythe moore, abc north west queensland, mount isa, Kirsten Gallagher, gukuthati Children and Family Centre, nurse, culture, australia, Michelle Mutzelburg",-20.7287,139.4897,http://www.abc.net.au/local/photos/2014/11/18/4131286-mediarss.xml,"images/test_word_cloud_0251.png"
Rob Hirst - a new solo album and the Midnight Oil 'anti-plan',http://www.abc.net.au/local/photos/2014/11/18/4130940.htm,18/11/2014,http://www.abc.net.au/reslib/201411/r1357297_19055103.JPG,"Rob Hirst - drummer and songwriter for Midnight Oil - and The Break, Ghostwriters, The Backsliders - has released his first solo album, 'The Sun Becomes The Sea'",Copyright: ABC | Source: ABC Local | Byline: Matthew Bevan,"Arts and Entertainment, Arts and Entertainment:Music, Arts and Entertainment:Music:Australian Composers, Arts and Entertainment:Music:Bands and Artists",ABC Newcastle NSW,NSW,Newcastle,"rob hirst, midnight oil, carol duncan, backsliders, ghostwriters, the break, newcastle, music, australian music, Newcastle: Afternoons,",-32.9298,151.7828,http://www.abc.net.au/local/photos/2014/11/18/4130940-mediarss.xml,"images/test_word_cloud_0252.png"
Confessions of a cricket tragic - The morning of the game,http://www.abc.net.au/local/photos/2014/11/18/4131302.htm,18/11/2014,http://www.abc.net.au/reslib/201311/r1198204_15482475.jpg,"The Cricket Tragic himself, Rob Courtney, also C-Grade Captain of the Yahl Cricket Club",Copyright: ABC | Source: | Byline:,"Arts and Entertainment:Comedy (Humour), Sport, Sport:Cricket,",ABC South East SA,SA,Yahl,"rob courtney, cricket, humour, comedy, sport, Yahl, c grade, a grade, fixture, banner park, mount gambier",-37.8802,140.8279,http://www.abc.net.au/local/photos/2014/11/18/4131302-mediarss.xml,"images/test_word_cloud_0253.png"
Green listed: Byron Bay nature reserves make world-class protected area list,http://www.abc.net.au/local/photos/2014/11/14/4128980.htm,14/11/2014,http://www.abc.net.au/reslib/201411/r1355871_19025255.jpg,The Cape Byron State Conservation Area and Arakwal National Park have been formally recognised as among the best managed reserves in the world.,Copyright: ABC | Source: ABC | Byline: Margaret Burin,"Community and Society:Indigenous (Aboriginal and Torres Strait Islander), Community and Society:Indigenous (Aboriginal and Torres Strait Islander):Land Rights, Environment, Environment:Conservation",ABC North Coast NSW,NSW,Byron Bay,"arakwal, byron, green list, world, abc, north coast, world, global,nsw, national parks, national park, aboriginal, yvonne stewart",-28.6436,153.6109,http://www.abc.net.au/local/photos/2014/11/14/4128980-mediarss.xml,"images/test_word_cloud_0254.png"
Artist creates a giant mutton bird puppet to raise environmental awareness,http://www.abc.net.au/local/photos/2014/11/17/4130126.htm,17/11/2014,http://www.abc.net.au/reslib/201411/r1356763_19045093.jpg,Artist Annie Edney used a stuffed mutton bird to create a puppet for the Phillip Island Shearwater Festival.,Copyright: ABC | Source: ABC Gippsland | Byline: Jenni Henderson,"Arts and Entertainment, Arts and Entertainment:Performance Art, Arts and Entertainment:Visual Art, Community and Society:Community and Multicultural Festivals",ABC Gippsland Vic,VIC,Cowes,abc gippsland shearwater festival mutton bird environment art puppet annie edney artist,-38.4578,145.2372,http://www.abc.net.au/local/photos/2014/11/17/4130126-mediarss.xml,"images/test_word_cloud_0255.png"
Climate change prompted butterfly swarm: expert,http://www.abc.net.au/local/photos/2014/11/18/4130858.htm,18/11/2014,http://www.abc.net.au/reslib/201411/r1357343_19055831.jpg,Former CSIRO butterfly researcher Donald Sands says the phenomenon was an effect of climate change.,Copyright: ABC | Source: Supplied | Byline: Stacey King,"Science and Technology, Science and Technology:Animals, Science and Technology:Animals:Animal Behaviour, Science and Technology:Animals:Invertebrates - Insects and Arachnids",ABC Gold & Tweed Coasts,QLD,Southport,"butterfly, butterflies, gold coast, swarm, migration, donald sands, csiro, lepidoptery, caper gold, caper white,",-27.9716,153.4094,http://www.abc.net.au/local/photos/2014/11/18/4130858-mediarss.xml,"images/test_word_cloud_0256.png"
The Gallipoli correspondent: diaries of a journalist at war,http://www.abc.net.au/local/photos/2014/11/11/4126331.htm,11/11/2014,http://www.abc.net.au/reslib/201411/r1354379_18994391.jpg,Charles Bean aboard the transport Orvieto just before reaching Alexandria. Photo taken Phillip Schuler on 29 November 1914.,Copyright: ABC | Source: AWM G01561 | Byline:,"Community and Society:History, Community and Society:History:World War 1, Human Interest,",ABC North Coast NSW,NSW,Lennox Head,"charles, bean, illustrated, abc, north, coast, book, article, remembrance day, gallipoli, myths, soldiers, photos, news, abc news, correspondent, war, first world war, WWI, journalist, sydney morning herald,",-28.7911,153.5933,http://www.abc.net.au/local/photos/2014/11/11/4126331-mediarss.xml,"images/test_word_cloud_0257.png"
Living in Nobbys lighthouse inspires artist,http://www.abc.net.au/local/photos/2014/11/18/4131079.htm,18/11/2014,http://www.abc.net.au/reslib/201411/r1357404_19057528.jpg,Dino Consalvo has been captivated by Newcastle Harbour's many moods.,Copyright: ABC | Source: from Facebook | Byline:,"Arts and Entertainment, Arts and Entertainment:Visual Art, Arts and Entertainment:Visual Art:Painting,",ABC Newcastle NSW,NSW,Newcastle,Newcastle: Mornings dino consalvo artist Nobbys lighthouse harbour tug boats ships loading 1233 abc jill emberson,-32.9298,151.7828,http://www.abc.net.au/local/photos/2014/11/18/4131079-mediarss.xml,"images/test_word_cloud_0258.png"
Dancers descend on Kellerberrin to engage regional communities,http://www.abc.net.au/local/photos/2014/11/18/4131055.htm,18/11/2014,http://www.abc.net.au/reslib/201411/r1357345_19055899.jpg,Dancers in the Kellerberrin workshop,Copyright: ABC | Source: Supplied | Byline: Jo Smith,"Arts and Entertainment:Dance,",ABC Mid West WA,WA,Kellerberrin,"dance, dancers, kellerberrin, ausdance, CAN,",-31.6336,117.7187,http://www.abc.net.au/local/photos/2014/11/18/4131055-mediarss.xml,"images/test_word_cloud_0259.png"
From red dirt to blue sea: the natural wonders of Goldfields-Esperance,http://www.abc.net.au/local/photos/2014/11/18/4131059.htm,18/11/2014,http://www.abc.net.au/reslib/201411/r1357316_19055422.jpg,A rainy sunrise casts a golden glow over Kalgoorlie's main street,Copyright: ABC | Source: ABC Goldfields | Byline:,"Environment, Rural,",ABC Goldfields WA,WA,Kalgoorlie,Natural Wonders Goldfields Esperance Region Warburton Kalgoorlie Boulder Esperance Beaches Beauty,-30.7458,121.4715,http://www.abc.net.au/local/photos/2014/11/18/4131059-mediarss.xml,"images/test_word_cloud_0260.png"
The nature of wild things,http://www.abc.net.au/local/photos/2014/11/18/4130969.htm,18/11/2014,http://www.abc.net.au/reslib/201411/r1357318_19056239.jpg,"Biologist, author and photographer Dr Martin Cohen says we have developed a fascination in the brutal behaviour of wild animals because of our disconnection from nature. “When we became civilised and put ourselves into cities and built barricades we disconnected ourselves from the ecological interactions of the wild,” said Dr Cohen.",Copyright: ABC | Source: Supplied | Byline: Karen Johns,"Arts and Entertainment:Kids Games and Links:Animals and Nature, Human Interest:Animal Attacks, Human Interest:Animal Attacks:Crocodile, Human Interest:Animals",ABC Far North Qld,,,"The nature of wild things, wild nature, wildlife, animals, animal attack, attacks, eating other animals, eating each other, snake eats croc, croc eats pig, snake eats chicken, eats rat, frog eats beetle, killing, death, dead, brutal, vs,",,,http://www.abc.net.au/local/photos/2014/11/18/4130969-mediarss.xml,"images/test_word_cloud_0261.png"
Troublesome canine the star of Townsville production,http://www.abc.net.au/local/photos/2014/11/18/4130906.htm,18/11/2014,http://www.abc.net.au/reslib/201411/r1356964_19049117.JPG,"Townsville actor Anna Wallace is playing the title role in Sylvia, a dog who comes between a married couple.",Copyright: ABC | Source: ABC Local | Byline: Kathleen Calderwood,"Arts and Entertainment:Comedy (Humour), Arts and Entertainment:Popular Culture, Arts and Entertainment:Theatre, Community and Society:Family and Children:Marriage",ABC North Qld,QLD,Townsville,"dog, Slyvia, acting, New York, TheatreiNQ, Anna Wallace, marriage, Shakespeare, apprentice, study, Townsville, regional, theatre",-19.2643,146.8118,http://www.abc.net.au/local/photos/2014/11/18/4130906-mediarss.xml,"images/test_word_cloud_0262.png"
"Quarter scale cars, full size rev-heads",http://www.abc.net.au/local/photos/2014/11/18/4130842.htm,18/11/2014,http://www.abc.net.au/reslib/201411/r1357217_19053348.JPG,The quarter scale petrol fuelled remote control car looks full size as it takes the corner. The facility has an outer track in a speedway style and an inner track for smaller electric cars.,Copyright: ABC | Source: ABC Wide Bay | Byline: Ross Kay,"Human Interest, Human Interest:Offbeat, Human Interest:People, Sport",ABC Wide Bay Qld,QLD,Bundaberg,"news, bundaberg, remote controlled cars, RC cars, sprintcars, speedway",-24.8683,152.3459,http://www.abc.net.au/local/photos/2014/11/18/4130842-mediarss.xml,"images/test_word_cloud_0263.png"
Caroona farmers named the best in NSW,http://www.abc.net.au/local/photos/2014/08/29/4077231.htm,29/08/2014,http://www.abc.net.au/reslib/201408/r1322748_18330555.JPG,On Sustainable New England Derek Blomfield takes us for a walk through one of his paddocks on the Liverpool Plains,Copyright: ABC | Source: ABC Local Radio | Byline: Kelly Fuller,"Environment,",ABC New England North West NSW,NSW,Caroona,"environment, sustainable, Dereck Blomfield, farming, cattle, rural, Liverpool Plains, Caroona, eating quality",-31.4079,150.4249,http://www.abc.net.au/local/photos/2014/08/29/4077231-mediarss.xml,"images/test_word_cloud_0264.png"
Ice experts to headline Mt Gambier forum in February,http://www.abc.net.au/local/photos/2014/11/17/4130409.htm,17/11/2014,http://www.abc.net.au/reslib/201411/r1356968_19049263.jpg,"Sergeant Paul Scicluna with members of the Limestone Coast Drug Action Team Sophie Bourchier, Jen Cruise and Alison Brash at Mount Gambier police station.",Copyright: ABC | Source: ABC Local | Byline: Kate Hill,"Community and Society, Education:Drug Education, Health, Health:Drug Use",ABC South East SA,SA,Mount Gambier,"ice forum, mount gambier, february 12, methamphetamine, dr Rebecca McKetin, australian national university, SAPOL, police, sergeant paul scicluna, limestone coast, project, mildura",-37.8252,140.7811,http://www.abc.net.au/local/photos/2014/11/17/4130409-mediarss.xml,"images/test_word_cloud_0265.png"
Rave review for new Toowoomba airport after maiden flight,http://www.abc.net.au/local/photos/2014/11/17/4130141.htm,17/11/2014,http://www.abc.net.au/reslib/201411/r1356857_19046784.jpg,"Captain Jock Richardson said weather conditions were perfect to fly between Sydney and Toowoomba. ""We could see the airport from a long way out,"" he said. ""It's a beautiful looking airstrip. It really is a sight to see.""",Copyright: AAP | Source: ABC Southern Qld | Byline: Peter Gunders,"Business, Economics and Finance, Business, Economics and Finance:Industry:Air Transport, Business, Economics and Finance:Industry, Community and Society",ABC Southern Queensland,QLD,Toowoomba,airport wellcamp wagners brisbane west,-27.5622,151.9528,http://www.abc.net.au/local/photos/2014/11/17/4130141-mediarss.xml,"images/test_word_cloud_0266.png"
"10,000 poppies the aim for Anzac Day 2015 in Kalgoorlie-Boulder",http://www.abc.net.au/local/photos/2014/11/17/4130276.htm,17/11/2014,http://www.abc.net.au/reslib/201411/r1356875_19047063.jpg,"Knitted poppies on the fence at the Boulder war memorial, the Goldfields War Museum is hoping to have 10,000 in time for Anzac Day 2015",Copyright: ABC | Source: Goldfields War Museum | Byline: Supplied,"Arts and Entertainment:Design:Craft, Community and Society:History:World War 1, Event:ANZAC Day,",ABC Goldfields WA,WA,Kalgoorlie,Red Poppies World War One Remembrance Anzac Kalgoorlie Goldfields War Museum Boulder Memorial,-30.7458,121.4715,http://www.abc.net.au/local/photos/2014/11/17/4130276-mediarss.xml,"images/test_word_cloud_0267.png"
Multicultural Tucker brings Ballarat's older multicultural community together,http://www.abc.net.au/local/photos/2014/11/14/4128508.htm,14/11/2014,http://www.abc.net.au/reslib/201411/r1355686_19020772.jpg,Volunteers serve the main course: lasagne.,Copyright: ABC | Source: ABC Local | Byline: Lily Partland,"Community and Society, Community and Society:Multiculturalism, Community and Society:Volunteers,",ABC Ballarat,VIC,Ballarat,"multicultural, seniors, elderly, migrants, community",-37.5675,143.8509,http://www.abc.net.au/local/photos/2014/11/14/4128508-mediarss.xml,"images/test_word_cloud_0268.png"
Inside the outback boxing tent,http://www.abc.net.au/local/photos/2014/11/17/4129988.htm,17/11/2014,http://www.abc.net.au/reslib/201411/r1356694_19043443.JPG,"Ever the showman, Fred Brophy warms up the crowd. The boxing tent has been in Fred's family for four generations and he says the show is unlike anything in the country. ""Everyone is here to have a good time, it's something you've never seen before and you'll never see again. You'll talk about it in years to come,"" Fred said.",Copyright: ABC | Source: ABC Wide Bay | Byline: Scott Lamond,"Human Interest, Human Interest:People, Sport, Sport:Boxing",ABC Wide Bay Qld,QLD,Kilkivan,"news, fred brophy, boxing tent, kilkivan, outback spectacular, showman, troupe, touring, boxing",-26.0885,152.233,http://www.abc.net.au/local/photos/2014/11/17/4129988-mediarss.xml,"images/test_word_cloud_0269.png"
